STATION,COUNTY,LATITUDE,LONGITUDE,ELEVATION,NETWORK
Alma 5SE,Waubansee,38.96615,-96.2063,428.0,KSRE
Ashland 8S,Clark,37.064758,-99.75109,562.0,KSRE
Ashland Bottoms,Riley,39.125773,-96.63653,324.612,KSRE
Belleville 2W,Republic,39.81409,-97.675093,471.0,KSRE
Bennington 3N,Ottawa,39.0738,-97.5862,392.0,KSRE
Bentley 2S GMD,Sedgwick,37.85386,-97.53311,422.0,KSRE
Bunker Hill 3NE,Russell,38.91282,-98.6738,546.0,KSRE
Butler,Butler,37.80431,-96.88306,400.812,KSRE
Cairo,Pratt,37.650257,-98.55513,524.8656,BBW
Cherokee,Cherokee,37.19898,-94.9809,263.35,KSRE
Cheyenne,Cheyenne,39.62647,-101.80749,1113.7392,KSRE
CheyenneTower,Cheyenne,39.633333,-101.815833,1113.7392,KSRE
Clay,Clay,39.41796,-97.13977,388.3152,KSRE
Colby,Thomas,39.39247,-101.06864,972.312,KSRE
Corning 2NW,Nemaha,39.6883,-96.0518,410.0,KSRE
Cullison,Pratt,37.630581,-98.905373,620.8776,BBW
Cummings 3NW,Atchison,39.49865,-95.2854,330.0,KSRE
Denmark 1NW,Lincoln,39.10223,-98.29702,446.0,KSRE
East Sedgwick,Sedgwick,37.871,-97.205,427.0248,
Ekdahl Green Roof,Riley,39.19,-93.58,330.0,KSRE
Elmdale 1SE,Chase,38.36252,-96.618227,406.0,KSRE
Flickner Tech Farm,McPherson,38.203408,-97.572003,447.0,KSRE
Garden City,Finney,37.99733,-100.81514,882.0912,KSRE
Goodland Tech Farm,Sherman,39.36546,-101.69683,1112.0,KSRE
Gove 5SE,Gove,38.9161,-100.396,781.0,KSRE
Grant,Grant,37.64962,-101.36637,934.212,KSRE
Gray,Gray,37.79157,-100.29734,794.3088,KSRE
Great Bend,Barton,38.364452,-98.764809,585.8256,BBW
Greensburg,Kiowa,37.602798,-99.29261,681.228,BBW
Gypsum,Saline,38.72522,-97.44415,373.0,KSRE
Hamilton,Hamilton,37.97635,-101.769,987.999,KSRE
Harper,Harper,37.06478,-98.08473,427.6344,KSRE
Harvey,Harvey,38.140699,-97.642002,441.0456,EBW
Haskell,Haskell,37.65916,-101.0267,934.8216,KSRE
Hays,Ellis,38.84945,-99.34461,618.744,KSRE
Haysville,Sedgwick,37.519775,-97.312143,378.428,KSRE
Haysville 3SE,Sedgwick,37.519775,-97.312143,378.428,KSRE
Hesston,Harvey,38.1333,-97.4,457.2,
