date,STATION,faw_obs,faw_model,residual
2017-10-01,Ashland Bottoms,0.059,0.735,-0.676
2017-10-01,Colby,0.978,0.735,0.243
2017-10-01,Garden City,0.698,0.735,-0.037
2017-10-01,Gypsum,0.213,0.735,-0.522
2017-10-01,Hays,0.421,0.735,-0.314
2017-10-01,Lake City,0.469,0.735,-0.266
2017-10-01,Lakin,0.836,0.735,0.101
2017-10-01,Lane,0.715,0.735,-0.020
2017-10-01,Lorraine,0.678,0.735,-0.057
2017-10-01,Manhattan,0.479,0.735,-0.256
2017-10-01,McPherson 1S,0.679,0.735,-0.056
2017-10-01,Ottawa 2SE,0.769,0.735,0.034
2017-10-01,Overbrook,0.496,0.735,-0.239
2017-10-01,Parsons,0.479,0.735,-0.257
2017-10-01,Richfield,0.913,0.735,0.178
2017-10-01,Satanta,0.762,0.735,0.027
2017-10-01,Tribune,0.932,0.735,0.197
2017-10-01,Viola,0.298,0.735,-0.438
2017-10-02,Ashland Bottoms,0.051,0.633,-0.582
2017-10-02,Colby,0.968,0.747,0.222
2017-10-02,Garden City,0.683,0.732,-0.049
2017-10-02,Gypsum,0.203,0.645,-0.442
2017-10-02,Hays,0.405,0.684,-0.279
2017-10-02,Lake City,0.436,0.672,-0.236
2017-10-02,Lakin,0.815,0.738,0.076
2017-10-02,Lane,0.696,0.728,-0.033
2017-10-02,Lorraine,0.660,0.670,-0.010
2017-10-02,Manhattan,0.467,0.633,-0.166
2017-10-02,McPherson 1S,0.658,0.654,0.004
2017-10-02,Ottawa 2SE,0.755,0.685,0.070
2017-10-02,Overbrook,0.489,0.675,-0.186
2017-10-02,Parsons,0.462,0.684,-0.221
2017-10-02,Richfield,0.912,0.744,0.168
2017-10-02,Satanta,0.747,0.733,0.014
2017-10-02,Tribune,0.931,0.747,0.183
2017-10-02,Viola,0.295,0.657,-0.362
2017-10-03,Ashland Bottoms,0.047,0.542,-0.494
2017-10-03,Colby,0.974,0.768,0.206
2017-10-03,Garden City,0.672,0.727,-0.054
2017-10-03,Gypsum,0.193,0.566,-0.372
2017-10-03,Hays,0.396,0.637,-0.241
2017-10-03,Lake City,0.399,0.614,-0.215
2017-10-03,Lakin,0.803,0.740,0.063
2017-10-03,Lane,0.760,0.791,-0.031
2017-10-03,Lorraine,0.640,0.612,0.029
2017-10-03,Manhattan,0.458,0.543,-0.084
2017-10-03,McPherson 1S,0.640,0.583,0.057
2017-10-03,Ottawa 2SE,0.739,0.641,0.098
2017-10-03,Overbrook,0.489,0.622,-0.133
2017-10-03,Parsons,0.448,0.638,-0.190
2017-10-03,Richfield,0.903,0.751,0.152
2017-10-03,Satanta,0.740,0.730,0.010
2017-10-03,Tribune,0.928,0.757,0.170
2017-10-03,Viola,0.292,0.586,-0.295
2017-10-04,Ashland Bottoms,0.039,0.463,-0.424
2017-10-04,Colby,0.969,0.777,0.192
2017-10-04,Garden City,0.895,0.981,-0.086
2017-10-04,Gypsum,0.187,0.502,-0.315
2017-10-04,Hays,0.703,0.890,-0.187
2017-10-04,Lake City,0.386,0.561,-0.175
2017-10-04,Lakin,1.074,0.981,0.093
2017-10-04,Lane,0.820,0.872,-0.052
2017-10-04,Lorraine,0.872,0.905,-0.032
2017-10-04,Manhattan,0.487,0.462,0.025
2017-10-04,McPherson 1S,0.636,0.520,0.116
2017-10-04,Ottawa 2SE,0.729,0.603,0.126
2017-10-04,Overbrook,0.487,0.577,-0.089
2017-10-04,Parsons,0.444,0.596,-0.152
2017-10-04,Richfield,0.969,0.823,0.146
2017-10-04,Satanta,0.751,0.760,-0.010
2017-10-04,Tribune,0.931,0.766,0.164
2017-10-04,Viola,0.290,0.580,-0.291
2017-10-05,Ashland Bottoms,0.041,0.465,-0.425
2017-10-05,Colby,1.064,0.879,0.185
2017-10-05,Garden City,0.817,0.969,-0.152
2017-10-05,Gypsum,0.758,0.788,-0.030
2017-10-05,Hays,0.607,0.848,-0.241
2017-10-05,Lake City,0.375,0.516,-0.141
2017-10-05,Lakin,0.995,0.975,0.020
2017-10-05,Lane,0.838,0.859,-0.021
2017-10-05,Lorraine,1.048,0.981,0.067
2017-10-05,Manhattan,0.510,0.448,0.062
2017-10-05,McPherson 1S,0.827,0.584,0.243
2017-10-05,Overbrook,0.481,0.543,-0.062
2017-10-05,Parsons,0.535,0.605,-0.070
2017-10-05,Richfield,0.954,0.826,0.128
2017-10-05,Satanta,0.775,0.754,0.021
2017-10-05,Tribune,0.939,0.773,0.166
2017-10-05,Viola,0.624,0.981,-0.358
2017-10-06,Ashland Bottoms,0.052,0.419,-0.367
2017-10-06,Colby,1.038,0.881,0.157
2017-10-06,Garden City,0.768,0.954,-0.186
2017-10-06,Gypsum,0.714,0.746,-0.032
2017-10-06,Hays,0.588,0.810,-0.221
2017-10-06,Lake City,0.404,0.483,-0.080
2017-10-06,Lakin,0.939,0.966,-0.027
2017-10-06,Lane,0.837,0.845,-0.007
2017-10-06,Lorraine,1.015,0.945,0.070
2017-10-06,Manhattan,0.513,0.402,0.111
2017-10-06,McPherson 1S,0.831,0.550,0.281
2017-10-06,Overbrook,0.518,0.555,-0.038
2017-10-06,Parsons,0.562,0.586,-0.024
2017-10-06,Richfield,0.945,0.826,0.119
2017-10-06,Satanta,0.772,0.744,0.027
2017-10-06,Tribune,0.936,0.777,0.159
2017-10-06,Viola,0.639,0.948,-0.309
2017-10-07,Ashland Bottoms,0.636,0.641,-0.004
2017-10-07,Colby,1.040,0.882,0.158
2017-10-07,Garden City,0.804,0.982,-0.178
2017-10-07,Gypsum,0.876,0.964,-0.088
2017-10-07,Hays,0.666,0.935,-0.269
2017-10-07,Lake City,0.646,0.505,0.141
2017-10-07,Lakin,1.017,0.982,0.035
2017-10-07,Lane,0.838,0.828,0.010
2017-10-07,Manhattan,0.732,0.617,0.115
2017-10-07,McPherson 1S,0.947,0.685,0.262
2017-10-07,Overbrook,0.714,0.638,0.076
2017-10-07,Parsons,0.706,0.744,-0.037
2017-10-07,Richfield,0.921,0.824,0.097
2017-10-07,Satanta,0.752,0.733,0.019
2017-10-07,Tribune,0.920,0.778,0.142
2017-10-07,Viola,0.701,0.982,-0.281
2017-10-08,Ashland Bottoms,0.591,0.619,-0.029
2017-10-08,Colby,1.017,0.881,0.136
2017-10-08,Garden City,0.758,0.962,-0.204
2017-10-08,Gypsum,0.760,0.947,-0.187
2017-10-08,Hays,0.626,0.900,-0.274
2017-10-08,Lake City,0.559,0.485,0.074
2017-10-08,Lakin,0.952,0.968,-0.015
2017-10-08,Lane,0.809,0.811,-0.001
2017-10-08,Lorraine,1.168,0.965,0.203
2017-10-08,Manhattan,0.732,0.596,0.136
2017-10-08,McPherson 1S,0.853,0.674,0.179
2017-10-08,Overbrook,0.633,0.619,0.014
2017-10-08,Parsons,0.679,0.724,-0.045
2017-10-08,Richfield,0.900,0.819,0.081
2017-10-08,Satanta,0.742,0.720,0.023
2017-10-08,Tribune,0.907,0.778,0.129
2017-10-08,Viola,0.675,0.948,-0.274
2017-10-09,Ashland Bottoms,0.573,0.609,-0.035
2017-10-09,Colby,1.004,0.878,0.126
2017-10-09,Garden City,0.737,0.941,-0.204
2017-10-09,Gypsum,0.711,0.935,-0.224
2017-10-09,Hays,0.602,0.867,-0.265
2017-10-09,Lake City,0.498,0.475,0.024
2017-10-09,Lakin,0.922,0.952,-0.030
2017-10-09,Lane,0.790,0.792,-0.002
2017-10-09,Lorraine,1.093,0.953,0.140
2017-10-09,Manhattan,0.733,0.586,0.147
2017-10-09,McPherson 1S,0.772,0.666,0.106
2017-10-09,Overbrook,0.604,0.609,-0.005
2017-10-09,Parsons,0.658,0.707,-0.049
2017-10-09,Richfield,0.889,0.812,0.077
2017-10-09,Satanta,0.735,0.705,0.030
2017-10-09,Tribune,0.895,0.774,0.121
2017-10-09,Viola,0.656,0.920,-0.264
