date,faw_map,storage_km3,faw_stations,n_stations
2017-10-01,0.698,32.762,0.600,17
2017-10-02,0.658,31.808,0.586,17
2017-10-03,0.639,31.389,0.581,17
2017-10-04,0.647,31.625,0.635,17
2017-10-05,0.669,32.163,0.695,16
2017-10-06,0.663,31.996,0.690,16
2017-10-07,0.756,34.281,0.807,16
2017-10-08,0.741,33.899,0.762,16
2017-10-09,0.726,33.527,0.736,16
2017-10-10,0.721,33.394,0.719,16
2017-10-11,0.703,32.950,0.705,16
2017-10-12,0.685,32.499,0.695,16
2017-10-13,0.669,32.099,0.690,16
2017-10-14,0.658,31.809,0.666,15
2017-10-15,0.699,32.803,0.718,15
2017-10-16,0.689,32.525,0.696,15
2017-10-17,0.681,32.344,0.701,17
2017-10-18,0.673,32.134,0.692,17
2017-10-19,0.664,31.914,0.683,17
2017-10-20,0.655,31.694,0.677,17
2017-10-21,0.647,31.483,0.672,17
2017-10-22,0.706,32.899,0.715,17
2017-10-23,0.695,32.635,0.699,17
2017-10-24,0.683,32.334,0.682,17
2017-10-25,0.670,32.009,0.668,17
2017-10-26,0.657,31.683,0.661,17
2017-10-27,0.644,31.367,0.648,17
2017-10-28,0.632,31.065,0.635,16
2017-10-29,0.620,30.774,0.629,17
2017-10-30,0.610,30.512,0.627,17
2017-10-31,0.600,30.279,0.616,17
2017-11-01,0.592,30.072,0.610,17
2017-11-02,0.585,29.887,0.611,17
2017-11-03,0.578,29.730,0.606,17
2017-11-04,0.573,29.600,0.603,17
2017-11-05,0.569,29.492,0.603,17
2017-11-06,0.565,29.395,0.597,17
2017-11-07,0.561,29.301,0.591,17
2017-11-08,0.557,29.194,0.583,17
2017-11-09,0.552,29.076,0.578,16
2017-11-10,0.547,28.950,0.574,17
2017-11-11,0.542,28.833,0.573,17
2017-11-12,0.539,28.737,0.576,17
2017-11-13,0.536,28.666,0.574,17
2017-11-14,0.534,28.621,0.576,17
2017-11-15,0.533,28.604,0.582,17
2017-11-16,0.533,28.592,0.574,17
2017-11-17,0.532,28.583,0.575,17
2017-11-18,0.532,28.566,0.576,17
2017-11-19,0.531,28.535,0.563,16
2017-11-20,0.528,28.481,0.558,16
2017-11-21,0.525,28.400,0.556,17
2017-11-22,0.521,28.303,0.546,16
2017-11-23,0.517,28.201,0.545,17
2017-11-24,0.513,28.104,0.547,17
2017-11-25,0.510,28.028,0.547,17
2017-11-26,0.508,27.964,0.540,17
2017-11-27,0.505,27.902,0.538,17
2017-11-28,0.503,27.842,0.539,17
2017-11-29,0.503,27.852,0.532,16
2017-11-30,0.501,27.788,0.529,17
2017-12-01,0.497,27.706,0.523,17
2017-12-02,0.494,27.615,0.518,16
2017-12-03,0.490,27.519,0.517,17
2017-12-04,0.487,27.442,0.522,17
2017-12-05,0.484,27.371,0.496,15
2017-12-06,0.481,27.302,0.464,13
2017-12-07,0.478,27.224,0.506,6
2017-12-08,0.473,27.104,0.525,9
2017-12-09,0.468,26.968,0.451,11
2017-12-10,0.463,26.838,0.463,14
2017-12-11,0.458,26.727,0.463,14
2017-12-12,0.455,26.635,0.428,12
2017-12-13,0.452,26.558,0.472,16
2017-12-14,0.448,26.477,0.474,17
2017-12-15,0.445,26.402,0.399,10
2017-12-16,0.443,26.331,0.433,13
2017-12-17,0.445,26.387,0.472,15
2017-12-18,0.444,26.366,0.401,10
2017-12-19,0.443,26.350,0.430,12
2017-12-20,0.440,26.270,0.399,11
2017-12-21,0.439,26.243,0.465,16
2017-12-22,0.437,26.194,0.363,11
2017-12-23,0.435,26.153,0.417,6
2017-12-24,0.432,26.074,0.403,7
2017-12-25,0.427,25.944,0.408,6
2017-12-26,0.422,25.814,0.477,2
2017-12-27,0.418,25.727,,0
2017-12-28,0.414,25.630,,0
2017-12-29,0.413,25.587,,0
2017-12-30,0.411,25.538,0.455,1
2017-12-31,0.409,25.491,,0
2018-01-01,0.407,25.443,,0
2018-01-02,0.405,25.404,,0
2018-01-03,0.404,25.366,,0
2018-01-04,0.402,25.328,,0
2018-01-05,0.401,25.291,,0
2018-01-06,0.400,25.254,,0
2018-01-07,0.398,25.212,0.033,2
